liste;ID;Titre;Sous-titre;Édition;Type;EAN;"Prix indicatif";Joueur(s);Durée;Age(s);Langues;Univers;Gamme(s);Catégorie(s);Thème(s);Mécanisme(s);Éditeur(s);Auteur(s);Illustrateur(s)
Famille;3807;"Battle Gum";;2012;basegame;;10;"2 — 4";15;6+;français;;;"Jeu de Cartes";Couleurs;"Gestion de main";"France Cartes";;"Nicolas Bernard"
Rétro;63500;"Jeu de cartes - Stars Wars : Prequel Trilogy";;2015;basegame;;16;1+;10;4+;français;"Star Wars";;"Jeu de Cartes";"Film & Série,Science-fiction,Space opera";Combinaison;Cartamundi;;
Enfance;63499;"Jeu des 7 Familles The Lapins Crétins";;2012;basegame;3114524025320;5;2+;10;5+;français;"Lapins Crétins";"Jeu des 7 familles";"Jeu de Cartes";"Dessin animé,Jeu vidéo";Collection,Déduction;"France Cartes";;
"Ludique Educatif";63498;"La boîte à questions - Spécial 5/6 ans";;2016;basegame;9782013238724;10;1+;10;"5 — 6";français;;"La boîte à questions";"Jeu De Connaissances";"Culture générale,Scolarité";"Déduction,Défis,Logique,Questions & Réponses";"Deux Coqs D'or";"Schwab Véronique";
Rétro;63497;"La France en 3000 Questions";;1987;basegame;3102020017000;0;"2 — 6";60;8+;français;;;"Jeu De Connaissances";France;"Questions & Réponses";"Ferriot Cric";;
"Ludique Educatif";63463;"Mon Atelier Lecture";;2016;basegame;4005556240746;0;"2 — 4";"30 — 60";6+;français;;;"Jeu Éducatif";;;Ravensburger;;
Rétro;59310;"Jeu de tarot - 78 Cartes Super Luxe";;2002;basegame;3114524037927;9,5;"3 — 6";30;12+;français;;Tarot;"Jeu De Cartes Traditionnel";Abstrait;Plis;Piatnik;;
Rétro;9110;"Voyage autour du monde";;1983;basegame;;0;"2 — 6";30;10+;français;;"Voyage autour du Monde";"Jeu de plateau";"Transport & voyage";;Ravensburger;;
Rétro;22415;"Les Joyeux combinards";;1986;basegame;;0;"2 — 6";45;12+;français;;;"Jeu de dés,Jeu de plateau";"Bourse & Finances,Commerce";"Chance & Hasard,Commerce,Jet De Dés,Parcours";Habourdin;;
Rétro;37345;"Trivial Pursuit - À la découverte de la France";;2007;basegame;;5;"2 — 36";60;10+;français;;"Trivial Pursuit";"Jeu De Connaissances";Géographie;"Questions & Réponses";"Éditions Atlas,Hasbro";;
"Escape game";5145;"La Boîte à Énigmes";"Édition de luxe";2009;basegame;9782501062787;15,9;"2 — 12";20;16+;français;"Légende Arthurienne";"Boite À Enigmes";"Jeu de Cartes";"Médiéval Fantastique";Énigme,Réflexion;Marabout;"Fabrice Mazza,Sylvain Lhullier";"Ivan Sigg"
Rétro;63146;"Jeu de carte - Star Wars : Classic Triology";;2015;basegame;;16;1+;10;4+;anglais;"Star Wars";;"Jeu de Cartes";"Film & Série,Science-fiction,Space opera";Combinaison;Cartamundi;;
Famille;20241;"Lady Richmond Se Fait Plumer !";;2016;basegame;;0;"2 — 5";30;8+;français;;;"Jeu de plateau";;;Haba;"Tim Rogasch";"Christian Effenberger"
